Дата;"Количество распознанных разговоров";"Жалобы и претензии со стороны клиента (AI)";"Клиент требует начальника, эскалирует проблему (AI)";"Клиент требует вернуть деньги (AI)";"Клиент угрожает обратиться в суд (AI)";"Клиент жалуется на ошибки в продукте, услуге или сервисе (AI)";"Сотрудник уточняет потребность клиента (AI)";"Сотрудник уточняет кто в компании является ЛПР (AI)";"Сотрудник предлагает встречу с клиентом (AI)";"Возражение клиента «Ничего не надо», «Не интересно» и подобное (AI)";"Сотрудник проговорил дальнейшие шаги (AI)";"Сотрудник резюмирует диалог (AI)";"Клиент недоволен сроками решения проблемы (AI)";"Возражение клиента «Дорого» (AI)";"Возражение клиента «Нужно подумать» и подобное (AI)";"Сотрудник озвучил цель звонка (AI)";"Закрытие клиент -";"Потребность клиент -";"Закрытие сотрудник -";"Закрытие сотрудник +";"Аргументация сотрудник -";"Аргументация сотрудник +";"Потребность сотрудник -";"Потребность сотрудник +";Приветствие.;"Некомпетентность оператора";"Неуверенность оператора";"Оператор просит прощения";"Проблемная ситуация у клиента";"Уменьшительно ласкательные";"Жалобы и недовольства клиента";"Замечания про невнятную речь";"Клиент делает замечания оператору";"Клиент переживает";"Невыполненные обещания";"Недовольные восклицания";"Повторные обращения клиента";"Сколько можно ждать";"Требует начальника";"Сотрудник уточнил стоимость";"Клиент отказался от покупки";"Слова паразиты";"Сотрудник упомянул акцию";"Чем занимается ваша компания";Ожидание;Допродажа;"Проблемы со связью";"Проблемы/Сложности с продуктом";"Клиент не может разговаривать";"Сотрудник динамит клиента";"Сотрудник не может проконсультировать";"Сотрудник закрывает сделку";"Благодарность клиента";"Сравнение с конкурентами";"Клиент обратился за помощью";"Матерные слова";"Негативные слова";Оскорбления;"Сотрудник поздоровался";"Сотрудник попрощался";"Обращение по имени";"Рейтинг сотрудника";"Средняя длительность записей";"Средняя длительность разговора";"Средняя длительность молчания";"Доля разговора";"Доля обоюдного молчания";"Количество перебиваний сотрудником";"Количество перебиваний клиентом";"Доля обоюдного разговора";"Доля разговора сотрудника";"Доля разговора клиента";"Скорость разговора сотрудника";"Скорость разговора клиента"
2026-04-17;5,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"60,00 %";"0,00 %";"20,00 %";"40,00 %";"20,00 %";"20,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"60,00 %";"100,00 %";"0,00 %";"0,00 %";"20,00 %";"20,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"20,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"20,00 %";"20,00 %";"0,00 %";"80,00 %";"0,00 %";"0,00 %";"0,00 %";"40,00 %";"0,00 %";"20,00 %";"0,00 %";"80,00 %";"0,00 %";"20,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"80,00 %";"100,00 %";17,33;24,88;15,25;9,63;61,29;38,71;0,80;0,00;2,89;58,62;41,25;3,85;3,48
2026-04-14;4,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"25,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"25,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"25,00 %";"0,00 %";"0,00 %";"25,00 %";"0,00 %";"25,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"75,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";16,67;57,53;27,54;30,00;47,87;52,15;1,00;0,25;2,00;52,83;48,15;3,68;3,83
2026-04-27;4,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"25,00 %";"25,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"25,00 %";"75,00 %";"25,00 %";"0,00 %";"0,00 %";"25,00 %";"25,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"25,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"25,00 %";"100,00 %";"50,00 %";"50,00 %";12,08;31,17;13,78;17,39;44,21;55,79;0,00;0,00;0,00;60,23;41,80;3,65;1,43
2026-04-19;3,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"33,33 %";"66,67 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"66,67 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"33,33 %";"66,67 %";"33,33 %";"33,33 %";"33,33 %";"66,67 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"33,33 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"33,33 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"66,67 %";"0,00 %";"0,00 %";"66,67 %";"0,00 %";"0,00 %";"0,00 %";"33,33 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"33,33 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"66,67 %";"100,00 %";21,11;60,46;31,18;29,28;51,57;48,43;0,33;0,67;1,83;54,49;46,57;3,96;3,98
2026-04-28;3,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"33,33 %";"33,33 %";"0,00 %";"0,00 %";"0,00 %";"33,33 %";"0,00 %";"0,00 %";"66,67 %";"66,67 %";"33,33 %";"0,00 %";"0,00 %";"33,33 %";"33,33 %";"100,00 %";"0,00 %";"0,00 %";"33,33 %";"0,00 %";"33,33 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"33,33 %";"0,00 %";"0,00 %";"33,33 %";"0,00 %";"0,00 %";"0,00 %";"33,33 %";"0,00 %";"0,00 %";"0,00 %";"66,67 %";"33,33 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"33,33 %";"66,67 %";16,67;48,49;18,33;30,16;37,80;62,20;0,00;0,67;1,64;67,54;32,84;4,11;3,43
2026-04-10;2,00;"50,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"100,00 %";"0,00 %";"0,00 %";"50,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"100,00 %";"50,00 %";"100,00 %";"0,00 %";"50,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"50,00 %";"50,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"50,00 %";29,17;113,83;68,51;45,32;60,19;39,81;1,50;1,50;2,16;31,15;70,34;4,10;4,14
2026-04-11;2,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"100,00 %";"0,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"50,00 %";"0,00 %";"0,00 %";"100,00 %";"50,00 %";"100,00 %";"50,00 %";"0,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"100,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"50,00 %";24,17;59,40;32,78;26,63;55,19;44,83;0,50;0,00;1,10;50,24;51,16;4,24;3,69
2026-04-12;2,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"50,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";18,33;73,69;41,91;31,79;56,87;43,14;2,50;0,00;3,51;58,41;41,49;3,92;3,67
2026-04-18;2,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"50,00 %";"50,00 %";20,83;73,05;44,98;28,07;61,57;38,43;2,00;1,50;5,07;56,56;41,20;4,43;3,58
2026-04-21;2,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"50,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";"50,00 %";"50,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"50,00 %";"0,00 %";"100,00 %";"0,00 %";"50,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";33,33;138,04;82,71;55,33;59,92;40,08;5,00;3,00;5,82;59,44;39,48;3,83;4,13
